customer_id,wellness_score,Financial Literacy Score,Aptitude for change Score,age_at_disbursement,debt_to_income_ratio,Actual_activities_count,Predicted_activities_count,Residual,True_Engagement_Level,Predicted_Engagement_Level,True_Repayment_Risk,Predicted_Repayment_Risk,Predicted_Repayment_Probability,Engagement_Score,Repayment_Risk_Score,CIS,CIS_Segment
1461,58.0,0.0,4.67,62.0,0.030821538461538463,12,11.075601733291496,0.9243982667085042,High Engagement,High Engagement,Low Risk,Low Risk,0.030181642370182282,3,1,1.9000000000000001,Segment B
1787,60.0,4.0,4.0,46.0,0.03448110599078341,8,7.830908829269689,0.16909117073031066,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.0414138286349868,2,1,1.4500000000000002,Segment B
1787,50.0,4.0,4.0,46.0,0.03448110599078341,1,8.125285789674479,-7.125285789674479,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.0414138286349868,2,1,1.4500000000000002,Segment B
1787,48.0,4.0,4.0,46.0,0.03448110599078341,10,8.184161181755437,1.815838818244563,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.0414138286349868,2,1,1.4500000000000002,Segment B
1787,48.93653333333334,4.0,4.0,46.0,0.03448110599078341,11,8.156591798156994,2.8434082018430065,High Engagement,Medium Engagement,Low Risk,Low Risk,0.0414138286349868,2,1,1.4500000000000002,Segment B
14241,53.0,3.0,3.83,44.0,0.1484068,2,8.735280370106429,-6.7352803701064285,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.016503668588701285,2,1,1.4500000000000002,Segment B
14241,36.0,3.0,3.83,44.0,0.1484068,8,9.23572120279457,-1.2357212027945703,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.016503668588701285,2,1,1.4500000000000002,Segment B
14654,48.93653333333334,2.0,1.0,32.0,0.47306333333333334,11,10.22702728167714,0.7729727183228601,High Engagement,High Engagement,Low Risk,Low Risk,0.3258759325897686,3,1,1.9000000000000001,Segment B
14654,43.0,2.0,1.0,32.0,0.47306333333333334,9,10.401785145477977,-1.4017851454779766,Medium Engagement,High Engagement,Low Risk,Low Risk,0.3258759325897686,3,1,1.9000000000000001,Segment B
14654,55.0,2.0,1.0,32.0,0.47306333333333334,3,10.04853279299223,-7.04853279299223,Low Engagement,High Engagement,Low Risk,Low Risk,0.3258759325897686,3,1,1.9000000000000001,Segment B
13973,46.0,4.0,3.67,47.0,0.4155122483221476,12,9.065457695467384,2.9345423045326164,High Engagement,Medium Engagement,High Risk,Low Risk,0.22984158023197876,2,1,1.4500000000000002,Segment B
16248,50.0,4.0,3.17,41.0,0.2087210648148148,8,8.383351035595146,-0.3833510355951457,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.04850369491162863,2,1,1.4500000000000002,Segment B
